v4_2,Lower CI,Upper CI,two-year-intervals,Time,administrative-geography,Geography,sex,Sex,age-groups,AgeGroups
84.89,84.37,85.41,2016-18,2016-18,E07000242,East Hertfordshire,female,Female,0-1,00-01
80.28,79.89,80.67,2016-18,2016-18,E09000008,Croydon,male,Male,0-1,00-01
83.96,83.61,84.3,2016-18,2016-18,E09000008,Croydon,female,Female,0-1,00-01
84.34,83.85,84.82,2016-18,2016-18,E09000024,Merton,female,Female,0-1,00-01
81.03,80.52,81.54,2016-18,2016-18,E09000024,Merton,male,Male,0-1,00-01
80.63,80.28,80.98,2016-18,2016-18,S12000029,South Lanarkshire,female,Female,0-1,00-01
76.83,76.44,77.21,2016-18,2016-18,S12000029,South Lanarkshire,male,Male,0-1,00-01
77.8,77.31,78.3,2016-18,2016-18,W06000018,Caerphilly,male,Male,0-1,00-01
81.32,80.85,81.78,2016-18,2016-18,W06000018,Caerphilly,female,Female,0-1,00-01
81.2,80.37,82.03,2016-18,2016-18,E07000124,Ribble Valley,male,Male,0-1,00-01
83.53,82.6,84.46,2016-18,2016-18,E07000124,Ribble Valley,female,Female,0-1,00-01
84.01,83.41,84.62,2016-18,2016-18,E07000087,Fareham,female,Female,0-1,00-01
81.43,80.84,82.02,2016-18,2016-18,E07000087,Fareham,male,Male,0-1,00-01
81.31,80.77,81.85,2016-18,2016-18,E07000072,Epping Forest,male,Male,0-1,00-01
83.76,83.23,84.28,2016-18,2016-18,E07000072,Epping Forest,female,Female,0-1,00-01
80.03,79.35,80.71,2016-18,2016-18,E07000220,Rugby,male,Male,0-1,00-01
83.49,82.84,84.14,2016-18,2016-18,E07000220,Rugby,female,Female,0-1,00-01
83.2,82.66,83.74,2016-18,2016-18,E07000202,Ipswich,female,Female,0-1,00-01
79.33,78.74,79.92,2016-18,2016-18,E07000202,Ipswich,male,Male,0-1,00-01
84.75,84.13,85.37,2016-18,2016-18,E07000200,Babergh,female,Female,0-1,00-01
81.59,80.92,82.26,2016-18,2016-18,E07000200,Babergh,male,Male,0-1,00-01
80.22,79.56,80.88,2016-18,2016-18,E07000178,Oxford,male,Male,0-1,00-01
84.46,83.88,85.05,2016-18,2016-18,E07000178,Oxford,female,Female,0-1,00-01
83.22,82.55,83.89,2016-18,2016-18,E07000088,Gosport,female,Female,0-1,00-01
79.29,78.55,80.04,2016-18,2016-18,E07000088,Gosport,male,Male,0-1,00-01
79.66,79.01,80.31,2016-18,2016-18,E07000107,Dartford,male,Male,0-1,00-01
82.15,81.55,82.75,2016-18,2016-18,E07000107,Dartford,female,Female,0-1,00-01
83.55,82.93,84.17,2016-18,2016-18,E07000142,West Lindsey,female,Female,0-1,00-01
79.6,78.9,80.3,2016-18,2016-18,E07000142,West Lindsey,male,Male,0-1,00-01
81.85,80.88,82.82,2016-18,2016-18,E07000030,Eden,male,Male,0-1,00-01
85.05,84.11,86.0,2016-18,2016-18,E07000030,Eden,female,Female,0-1,00-01
83.68,83.23,84.13,2016-18,2016-18,E06000019,"Herefordshire, County of",female,Female,0-1,00-01
79.7,79.17,80.22,2016-18,2016-18,E06000019,"Herefordshire, County of",male,Male,0-1,00-01
83.67,83.22,84.13,2016-18,2016-18,E07000110,Maidstone,female,Female,0-1,00-01
80.46,79.97,80.95,2016-18,2016-18,E07000110,Maidstone,male,Male,0-1,00-01
85.41,84.82,85.99,2016-18,2016-18,E07000180,Vale of White Horse,female,Female,0-1,00-01
82.59,82.0,83.17,2016-18,2016-18,E07000180,Vale of White Horse,male,Male,0-1,00-01
80.96,80.15,81.78,2016-18,2016-18,E07000074,Maldon,male,Male,0-1,00-01
83.28,82.48,84.09,2016-18,2016-18,E07000074,Maldon,female,Female,0-1,00-01
82.71,81.87,83.56,2016-18,2016-18,E07000046,Torridge,female,Female,0-1,00-01
79.83,79.0,80.67,2016-18,2016-18,E07000046,Torridge,male,Male,0-1,00-01
76.26,75.94,76.59,2016-18,2016-18,E08000012,Liverpool,male,Male,0-1,00-01
80.08,79.76,80.4,2016-18,2016-18,E08000012,Liverpool,female,Female,0-1,00-01
83.03,82.36,83.7,2016-18,2016-18,E07000243,Stevenage,female,Female,0-1,00-01
78.5,77.78,79.21,2016-18,2016-18,E07000243,Stevenage,male,Male,0-1,00-01
78.68,77.98,79.38,2016-18,2016-18,S12000030,Stirling,male,Male,0-1,00-01
82.83,82.16,83.5,2016-18,2016-18,S12000030,Stirling,female,Female,0-1,00-01
83.68,82.94,84.42,2016-18,2016-18,E07000223,Adur,female,Female,0-1,00-01
81.21,80.44,81.98,2016-18,2016-18,E07000223,Adur,male,Male,0-1,00-01
80.6,79.88,81.33,2016-18,2016-18,W06000019,Blaenau Gwent,female,Female,0-1,00-01
76.28,75.47,77.09,2016-18,2016-18,W06000019,Blaenau Gwent,male,Male,0-1,00-01
80.22,79.69,80.75,2016-18,2016-18,E09000025,Newham,male,Male,0-1,00-01
83.29,82.81,83.78,2016-18,2016-18,E09000025,Newham,female,Female,0-1,00-01
79.72,79.13,80.31,2016-18,2016-18,E06000046,Isle of Wight,male,Male,0-1,00-01
83.49,82.97,84.0,2016-18,2016-18,E06000046,Isle of Wight,female,Female,0-1,00-01
80.07,79.62,80.52,2016-18,2016-18,E06000030,Swindon,male,Male,0-1,00-01
83.3,82.87,83.72,2016-18,2016-18,E06000030,Swindon,female,Female,0-1,00-01
82.17,81.66,82.67,2016-18,2016-18,E06000012,North East Lincolnshire,female,Female,0-1,00-01
77.57,77.01,78.12,2016-18,2016-18,E06000012,North East Lincolnshire,male,Male,0-1,00-01
78.24,77.93,78.54,2016-18,2016-18,E06000047,County Durham,male,Male,0-1,00-01
81.46,81.19,81.74,2016-18,2016-18,E06000047,County Durham,female,Female,0-1,00-01
82.45,81.95,82.95,2016-18,2016-18,E06000013,North Lincolnshire,female,Female,0-1,00-01
78.97,78.47,79.47,2016-18,2016-18,E06000013,North Lincolnshire,male,Male,0-1,00-01
80.51,80.06,80.96,2016-18,2016-18,E07000244,East Suffolk,male,Male,0-1,00-01
83.75,83.34,84.16,2016-18,2016-18,E07000244,East Suffolk,female,Female,0-1,00-01
82.81,82.28,83.34,2016-18,2016-18,S12000048,Perth and Kinross,female,Female,0-1,00-01
79.13,78.52,79.73,2016-18,2016-18,S12000048,Perth and Kinross,male,Male,0-1,00-01
77.34,76.48,78.2,2016-18,2016-18,E07000027,Barrow-in-Furness,male,Male,0-1,00-01
80.98,80.19,81.77,2016-18,2016-18,E07000027,Barrow-in-Furness,female,Female,0-1,00-01
78.62,78.11,79.13,2016-18,2016-18,E06000020,Telford and Wrekin,male,Male,0-1,00-01
81.93,81.45,82.41,2016-18,2016-18,E06000020,Telford and Wrekin,female,Female,0-1,00-01
83.12,82.63,83.62,2016-18,2016-18,N09000010,"Newry, Mourne and Down",female,Female,0-1,00-01
78.91,78.36,79.45,2016-18,2016-18,N09000010,"Newry, Mourne and Down",male,Male,0-1,00-01
80.82,80.37,81.27,2016-18,2016-18,E09000005,Brent,male,Male,0-1,00-01
85.11,84.67,85.56,2016-18,2016-18,E09000005,Brent,female,Female,0-1,00-01
80.64,80.24,81.05,2016-18,2016-18,E09000010,Enfield,male,Male,0-1,00-01
84.78,84.39,85.16,2016-18,2016-18,E09000010,Enfield,female,Female,0-1,00-01
81.45,81.01,81.89,2016-18,2016-18,E09000026,Redbridge,male,Male,0-1,00-01
84.79,84.37,85.2,2016-18,2016-18,E09000026,Redbridge,female,Female,0-1,00-01
81.49,80.93,82.04,2016-18,2016-18,E09000021,Kingston upon Thames,male,Male,0-1,00-01
84.93,84.39,85.47,2016-18,2016-18,E09000021,Kingston upon Thames,female,Female,0-1,00-01
78.12,77.67,78.58,2016-18,2016-18,E06000045,Southampton,male,Male,0-1,00-01
82.62,82.18,83.05,2016-18,2016-18,E06000045,Southampton,female,Female,0-1,00-01
78.18,77.48,78.88,2016-18,2016-18,E07000145,Great Yarmouth,male,Male,0-1,00-01
82.58,81.96,83.2,2016-18,2016-18,E07000145,Great Yarmouth,female,Female,0-1,00-01
82.71,82.38,83.05,2016-18,2016-18,E06000057,Northumberland,female,Female,0-1,00-01
79.4,79.01,79.78,2016-18,2016-18,E06000057,Northumberland,male,Male,0-1,00-01
83.78,83.47,84.09,2016-18,2016-18,E06000011,East Riding of Yorkshire,female,Female,0-1,00-01
80.11,79.75,80.46,2016-18,2016-18,E06000011,East Riding of Yorkshire,male,Male,0-1,00-01
83.57,82.93,84.2,2016-18,2016-18,S12000011,East Renfrewshire,female,Female,0-1,00-01
80.68,80.0,81.36,2016-18,2016-18,S12000011,East Renfrewshire,male,Male,0-1,00-01
78.0,77.34,78.67,2016-18,2016-18,W06000004,Denbighshire,male,Male,0-1,00-01
81.53,80.95,82.12,2016-18,2016-18,W06000004,Denbighshire,female,Female,0-1,00-01
82.85,82.32,83.38,2016-18,2016-18,E07000113,Swale,female,Female,0-1,00-01
79.16,78.58,79.75,2016-18,2016-18,E07000113,Swale,male,Male,0-1,00-01
82.28,81.6,82.96,2016-18,2016-18,E07000077,Uttlesford,male,Male,0-1,00-01
85.23,84.62,85.85,2016-18,2016-18,E07000077,Uttlesford,female,Female,0-1,00-01
80.54,79.83,81.24,2016-18,2016-18,E07000226,Crawley,male,Male,0-1,00-01
83.44,82.76,84.12,2016-18,2016-18,E07000226,Crawley,female,Female,0-1,00-01
81.64,81.34,81.93,2016-18,2016-18,E08000032,Bradford,female,Female,0-1,00-01
77.79,77.48,78.1,2016-18,2016-18,E08000032,Bradford,male,Male,0-1,00-01
84.09,83.5,84.68,2016-18,2016-18,E07000188,Sedgemoor,female,Female,0-1,00-01
80.44,79.83,81.06,2016-18,2016-18,E07000188,Sedgemoor,male,Male,0-1,00-01
84.03,83.64,84.42,2016-18,2016-18,E09000017,Hillingdon,female,Female,0-1,00-01
80.43,80.01,80.86,2016-18,2016-18,E09000017,Hillingdon,male,Male,0-1,00-01
80.78,80.3,81.26,2016-18,2016-18,S12000040,West Lothian,female,Female,0-1,00-01
77.79,77.28,78.3,2016-18,2016-18,S12000040,West Lothian,male,Male,0-1,00-01
75.16,74.42,75.91,2016-18,2016-18,S12000018,Inverclyde,male,Male,0-1,00-01
79.6,78.87,80.33,2016-18,2016-18,S12000018,Inverclyde,female,Female,0-1,00-01
81.27,80.71,81.82,2016-18,2016-18,N09000005,Derry City and Strabane,female,Female,0-1,00-01
78.05,77.47,78.63,2016-18,2016-18,N09000005,Derry City and Strabane,male,Male,0-1,00-01
83.29,82.75,83.83,2016-18,2016-18,W06000009,Pembrokeshire,female,Female,0-1,00-01
79.32,78.68,79.95,2016-18,2016-18,W06000009,Pembrokeshire,male,Male,0-1,00-01
83.88,83.43,84.34,2016-18,2016-18,E09000029,Sutton,female,Female,0-1,00-01
80.57,80.06,81.08,2016-18,2016-18,E09000029,Sutton,male,Male,0-1,00-01
84.56,83.98,85.14,2016-18,2016-18,E09000013,Hammersmith and Fulham,female,Female,0-1,00-01
79.73,79.12,80.35,2016-18,2016-18,E09000013,Hammersmith and Fulham,male,Male,0-1,00-01
84.63,84.09,85.16,2016-18,2016-18,E06000040,Windsor and Maidenhead,female,Female,0-1,00-01
81.71,81.14,82.28,2016-18,2016-18,E06000040,Windsor and Maidenhead,male,Male,0-1,00-01
85.0,84.58,85.43,2016-18,2016-18,E06000022,Bath and North East Somerset,female,Female,0-1,00-01
80.65,80.16,81.15,2016-18,2016-18,E06000022,Bath and North East Somerset,male,Male,0-1,00-01
81.12,80.56,81.68,2016-18,2016-18,E06000006,Halton,female,Female,0-1,00-01
77.08,76.45,77.71,2016-18,2016-18,E06000006,Halton,male,Male,0-1,00-01
77.08,76.34,77.83,2016-18,2016-18,E07000062,Hastings,male,Male,0-1,00-01
81.61,80.89,82.32,2016-18,2016-18,E07000062,Hastings,female,Female,0-1,00-01
82.35,81.69,83.02,2016-18,2016-18,E07000128,Wyre,female,Female,0-1,00-01
78.26,77.58,78.94,2016-18,2016-18,E07000128,Wyre,male,Male,0-1,00-01
85.26,84.74,85.78,2016-18,2016-18,E07000209,Guildford,female,Female,0-1,00-01
